2024-11-13T13:08:19.882015 - ADD: Added: Bruce Schneier, 12345
2024-11-13T13:08:19.897549 - DELETE: Deleted by phone number and person: 12345,Bruce Schneier
2024-11-13T13:08:20.213500 - ADD: Added: Bruce Schneier, (703)111-2121
2024-11-13T13:08:20.230026 - DELETE: Deleted by phone number and person: (703)111-2121,Bruce Schneier
2024-11-13T13:08:20.538422 - ADD: Added: Bruce Schneier, 123-1234
2024-11-13T13:08:20.545914 - DELETE: Deleted by phone number and person: 123-1234,Bruce Schneier
2024-11-13T13:08:21.641168 - ADD: Added: Bruce Schneier, 1(703)123-1234
2024-11-13T13:08:21.648352 - DELETE: Deleted by phone number and person: 1(703)123-1234,Bruce Schneier
2024-11-13T13:08:22.018534 - ADD: Added: Bruce Schneier, 011 701 111 1234
2024-11-13T13:08:22.036204 - DELETE: Deleted by phone number and person: 011 701 111 1234,Bruce Schneier
2024-11-13T13:08:22.375891 - ADD: Added: Bruce Schneier, 12345.12345
2024-11-13T13:08:22.391789 - DELETE: Deleted by phone number and person: 12345.12345,Bruce Schneier
2024-11-13T13:08:22.700438 - ADD: Added: Bruce Schneier, 011 1 703 111 1234
2024-11-13T13:08:22.716984 - DELETE: Deleted by phone number and person: 011 1 703 111 1234,Bruce Schneier
2024-11-13T13:08:23.024848 - ADD: Added: Bruce Schneier, 22.22.22.22
2024-11-13T13:08:23.040542 - DELETE: Deleted by phone number and person: 22.22.22.22,Bruce Schneier
2024-11-13T13:08:23.363065 - ADD: Added: Bruce Schneier, 2222.2222
2024-11-13T13:08:23.379029 - DELETE: Deleted by phone number and person: 2222.2222,Bruce Schneier
2024-11-13T13:08:23.690076 - ADD: Added: Bruce Schneier, 111 111 1111
2024-11-13T13:08:23.706111 - DELETE: Deleted by phone number and person: 111 111 1111,Bruce Schneier
2024-11-13T13:08:24.022821 - ADD: Added: Bruce Schneier, (670)123-4567
2024-11-13T13:08:24.038601 - DELETE: Deleted by phone number and person: (670)123-4567,Bruce Schneier
2024-11-13T13:08:24.362015 - ADD: Added: Bruce Schneier, 670-123-4567
2024-11-13T13:08:24.362015 - DELETE: Deleted by phone number and person: 670-123-4567,Bruce Schneier
2024-11-13T13:08:24.698718 - ADD: Added: Bruce Schneier, 1-670-123-4567
2024-11-13T13:08:24.726565 - DELETE: Deleted by phone number and person: 1-670-123-4567,Bruce Schneier
2024-11-13T13:08:25.074938 - ADD: Added: Bruce Schneier, 1(670)123-4567
2024-11-13T13:08:25.090660 - DELETE: Deleted by phone number and person: 1(670)123-4567,Bruce Schneier
2024-11-13T13:08:25.401653 - ADD: Added: Bruce Schneier, 670 123 4567
2024-11-13T13:08:25.417647 - DELETE: Deleted by phone number and person: 670 123 4567,Bruce Schneier
2024-11-13T13:08:25.731752 - ADD: Added: Bruce Schneier, 670.123.4567
2024-11-13T13:08:25.747817 - DELETE: Deleted by phone number and person: 670.123.4567,Bruce Schneier
2024-11-13T13:08:26.056938 - ADD: Added: Bruce Schneier, 1 670 123 4567
2024-11-13T13:08:26.066446 - DELETE: Deleted by phone number and person: 1 670 123 4567,Bruce Schneier
2024-11-13T13:08:26.381512 - ADD: Added: Bruce Schneier, 1.670.123.4567
2024-11-13T13:08:26.389971 - DELETE: Deleted by phone number and person: 1.670.123.4567,Bruce Schneier
2024-11-13T13:08:26.706404 - ADD: Added: Schneier, Bruce, 12345
2024-11-13T13:08:26.706404 - DELETE: Deleted by phone number and person: 12345,Schneier, Bruce
2024-11-13T13:08:27.043577 - ADD: Added: Schneier, Bruce, (703)111-2121
2024-11-13T13:08:27.060737 - DELETE: Deleted by phone number and person: (703)111-2121,Schneier, Bruce
2024-11-13T13:08:27.375632 - ADD: Added: Schneier, Bruce, 123-1234
2024-11-13T13:08:27.391745 - DELETE: Deleted by phone number and person: 123-1234,Schneier, Bruce
2024-11-13T13:08:28.314086 - ADD: Added: Schneier, Bruce, 1(703)123-1234
2024-11-13T13:08:28.330340 - DELETE: Deleted by phone number and person: 1(703)123-1234,Schneier, Bruce
2024-11-13T13:08:28.645200 - ADD: Added: Schneier, Bruce, 011 701 111 1234
2024-11-13T13:08:28.661112 - DELETE: Deleted by phone number and person: 011 701 111 1234,Schneier, Bruce
2024-11-13T13:08:29.002345 - ADD: Added: Schneier, Bruce, 12345.12345
2024-11-13T13:08:29.020892 - DELETE: Deleted by phone number and person: 12345.12345,Schneier, Bruce
2024-11-13T13:08:29.332000 - ADD: Added: Schneier, Bruce, 011 1 703 111 1234
2024-11-13T13:08:29.347601 - DELETE: Deleted by phone number and person: 011 1 703 111 1234,Schneier, Bruce
2024-11-13T13:08:29.663625 - ADD: Added: Schneier, Bruce, 22.22.22.22
2024-11-13T13:08:29.679276 - DELETE: Deleted by phone number and person: 22.22.22.22,Schneier, Bruce
2024-11-13T13:08:29.994054 - ADD: Added: Schneier, Bruce, 2222.2222
2024-11-13T13:08:30.009351 - DELETE: Deleted by phone number and person: 2222.2222,Schneier, Bruce
2024-11-13T13:08:30.320128 - ADD: Added: Schneier, Bruce, 111 111 1111
2024-11-13T13:08:30.335914 - DELETE: Deleted by phone number and person: 111 111 1111,Schneier, Bruce
2024-11-13T13:08:30.679358 - ADD: Added: Schneier, Bruce, (670)123-4567
2024-11-13T13:08:30.694897 - DELETE: Deleted by phone number and person: (670)123-4567,Schneier, Bruce
2024-11-13T13:08:31.015517 - ADD: Added: Schneier, Bruce, 670-123-4567
2024-11-13T13:08:31.031397 - DELETE: Deleted by phone number and person: 670-123-4567,Schneier, Bruce
2024-11-13T13:08:31.362758 - ADD: Added: Schneier, Bruce, 1-670-123-4567
2024-11-13T13:08:31.378484 - DELETE: Deleted by phone number and person: 1-670-123-4567,Schneier, Bruce
2024-11-13T13:08:31.706040 - ADD: Added: Schneier, Bruce, 1(670)123-4567
2024-11-13T13:08:31.710275 - DELETE: Deleted by phone number and person: 1(670)123-4567,Schneier, Bruce
2024-11-13T13:08:32.027332 - ADD: Added: Schneier, Bruce, 670 123 4567
2024-11-13T13:08:32.044160 - DELETE: Deleted by phone number and person: 670 123 4567,Schneier, Bruce
2024-11-13T13:08:32.351644 - ADD: Added: Schneier, Bruce, 670.123.4567
2024-11-13T13:08:32.375321 - DELETE: Deleted by phone number and person: 670.123.4567,Schneier, Bruce
2024-11-13T13:08:32.685886 - ADD: Added: Schneier, Bruce, 1 670 123 4567
2024-11-13T13:08:32.703505 - DELETE: Deleted by phone number and person: 1 670 123 4567,Schneier, Bruce
2024-11-13T13:08:33.007120 - ADD: Added: Schneier, Bruce, 1.670.123.4567
2024-11-13T13:08:33.019228 - DELETE: Deleted by phone number and person: 1.670.123.4567,Schneier, Bruce
2024-11-13T13:08:33.359707 - ADD: Added: Schneier, Bruce Wayne, 12345
2024-11-13T13:08:33.375345 - DELETE: Deleted by phone number and person: 12345,Schneier, Bruce Wayne
2024-11-13T13:08:33.708398 - ADD: Added: Schneier, Bruce Wayne, (703)111-2121
2024-11-13T13:08:33.720235 - DELETE: Deleted by phone number and person: (703)111-2121,Schneier, Bruce Wayne
2024-11-13T13:08:34.051229 - ADD: Added: Schneier, Bruce Wayne, 123-1234
2024-11-13T13:08:34.069815 - DELETE: Deleted by phone number and person: 123-1234,Schneier, Bruce Wayne
2024-11-13T13:08:35.010854 - ADD: Added: Schneier, Bruce Wayne, 1(703)123-1234
2024-11-13T13:08:35.022205 - DELETE: Deleted by phone number and person: 1(703)123-1234,Schneier, Bruce Wayne
2024-11-13T13:08:35.336042 - ADD: Added: Schneier, Bruce Wayne, 011 701 111 1234
2024-11-13T13:08:35.351057 - DELETE: Deleted by phone number and person: 011 701 111 1234,Schneier, Bruce Wayne
2024-11-13T13:08:35.669986 - ADD: Added: Schneier, Bruce Wayne, 12345.12345
2024-11-13T13:08:35.673495 - DELETE: Deleted by phone number and person: 12345.12345,Schneier, Bruce Wayne
2024-11-13T13:08:35.989193 - ADD: Added: Schneier, Bruce Wayne, 011 1 703 111 1234
2024-11-13T13:08:36.012338 - DELETE: Deleted by phone number and person: 011 1 703 111 1234,Schneier, Bruce Wayne
2024-11-13T13:08:36.321321 - ADD: Added: Schneier, Bruce Wayne, 22.22.22.22
2024-11-13T13:08:36.343415 - DELETE: Deleted by phone number and person: 22.22.22.22,Schneier, Bruce Wayne
2024-11-13T13:08:36.684565 - ADD: Added: Schneier, Bruce Wayne, 2222.2222
